"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"MedicinalProduct.Interactions.InteractionsText","MedicinalProduct.Interactions.InteractionsText","","","",1,1,"","","","string {[]} {[]}
","9.9.2.7.2","9.9.2.7.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Interactions.InteractionsText",1,1,"",""
"MedicinalProduct.Interactions.Interactant","MedicinalProduct.Interactions.Interactant","","","",0,*,"","","","CodeableConcept {[]} {[]}
","9.9.2.7.3","9.9.2.7.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Interactions.Interactant",0,*,"",""
"MedicinalProduct.Interactions.InteractionsType","MedicinalProduct.Interactions.InteractionsType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.7.4","9.9.2.7.4","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Interactions.InteractionsType",0,1,"",""
"MedicinalProduct.Interactions.InteractionsEffect","MedicinalProduct.Interactions.InteractionsEffect","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.7.5","9.9.2.7.5","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Interactions.InteractionsEffect",0,1,"",""
"MedicinalProduct.Interactions.InteractionsIncidence","MedicinalProduct.Interactions.InteractionsIncidence","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.7.6","9.9.2.7.6","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Interactions.InteractionsIncidence",0,1,"",""
"MedicinalProduct.Interactions.ManagementActions","MedicinalProduct.Interactions.ManagementActions","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.7.7","9.9.2.7.7","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Interactions.ManagementActions",0,1,"",""
"MedicinalProduct.Manufacturer-Establishment-Organisation","MedicinalProduct.Manufacturer-Establishment_Organisation","","","",1,*,"","","","BackboneElement {[]} {[]}
","9.5.2.2","9.5.2.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Manufacturer-Establishment_Organisation",1,*,"",""
"MedicinalProduct.Manufacturer-Establishment-Organisation.Identifier","MedicinalProduct.Manufacturer-Establishment_Organisation.Identifier","","","",1,1,"","","","Identifier {[]} {[]}
","9.4.2.2.2","9.4.2.2.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Manufacturer-Establishment_Organisation.Identifier",1,1,"",""
"MedicinalProduct.Manufacturer-Establishment-Organisation.Name","MedicinalProduct.Manufacturer-Establishment_Organisation.Name","","","",1,1,"","","","string {[]} {[]}
","9.4.2.2.3","9.4.2.2.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Manufacturer-Establishment_Organisation.Name",1,1,"",""
"MedicinalProduct.Manufacturer-Establishment-Organisation.Address","MedicinalProduct.Manufacturer-Establishment_Organisation.Address","","","",1,1,"","","","Address {[]} {[]}
","9.4.2.2.4","9.4.2.2.4","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Manufacturer-Establishment_Organisation.Address",1,1,"",""
